date,cases,country,city
2020-01-01,0,Finland,Helsinki
2020-01-02,0,Finland,Helsinki
2020-01-03,0,Finland,Helsinki
2020-01-04,0,Finland,Helsinki
2020-01-05,0,Finland,Helsinki
2020-01-06,0,Finland,Helsinki
2020-01-07,0,Finland,Helsinki
2020-01-08,1,Finland,Helsinki
2020-01-09,0,Finland,Helsinki
2020-01-10,0,Finland,Helsinki
2020-01-11,0,Finland,Helsinki
2020-01-12,0,Finland,Helsinki
2020-01-13,0,Finland,Helsinki
2020-01-14,0,Finland,Helsinki
2020-01-15,0,Finland,Helsinki
2020-01-16,0,Finland,Helsinki
2020-01-17,0,Finland,Helsinki
2020-01-18,0,Finland,Helsinki
2020-01-19,0,Finland,Helsinki
2020-01-20,0,Finland,Helsinki
2020-01-21,0,Finland,Helsinki
2020-01-22,0,Finland,Helsinki
2020-01-23,0,Finland,Helsinki
2020-01-24,0,Finland,Helsinki
2020-01-25,0,Finland,Helsinki
2020-01-26,0,Finland,Helsinki
2020-01-27,0,Finland,Helsinki
2020-01-28,0,Finland,Helsinki
2020-01-29,0,Finland,Helsinki
2020-01-30,0,Finland,Helsinki
2020-01-31,0,Finland,Helsinki
2020-02-01,0,Finland,Helsinki
2020-02-02,0,Finland,Helsinki
2020-02-03,0,Finland,Helsinki
2020-02-04,0,Finland,Helsinki
2020-02-05,0,Finland,Helsinki
2020-02-06,0,Finland,Helsinki
2020-02-07,0,Finland,Helsinki
2020-02-08,0,Finland,Helsinki
2020-02-09,0,Finland,Helsinki
2020-02-10,1,Finland,Helsinki
2020-02-11,0,Finland,Helsinki
2020-02-12,0,Finland,Helsinki
2020-02-13,0,Finland,Helsinki
2020-02-14,0,Finland,Helsinki
2020-02-15,0,Finland,Helsinki
2020-02-16,0,Finland,Helsinki
2020-02-17,0,Finland,Helsinki
2020-02-18,0,Finland,Helsinki
2020-02-19,0,Finland,Helsinki
2020-02-20,0,Finland,Helsinki
2020-02-21,0,Finland,Helsinki
2020-02-22,1,Finland,Helsinki
2020-02-23,0,Finland,Helsinki
2020-02-24,0,Finland,Helsinki
2020-02-25,0,Finland,Helsinki
2020-02-26,0,Finland,Helsinki
2020-02-27,1,Finland,Helsinki
2020-02-28,3,Finland,Helsinki
2020-02-29,1,Finland,Helsinki
2020-03-01,1,Finland,Helsinki
2020-03-02,0,Finland,Helsinki
2020-03-03,3,Finland,Helsinki
2020-03-04,2,Finland,Helsinki
2020-03-05,1,Finland,Helsinki
2020-03-06,4,Finland,Helsinki
2020-03-07,4,Finland,Helsinki
2020-03-08,2,Finland,Helsinki
2020-03-09,10,Finland,Helsinki
2020-03-10,25,Finland,Helsinki
2020-03-11,44,Finland,Helsinki
2020-03-12,35,Finland,Helsinki
2020-03-13,19,Finland,Helsinki
2020-03-14,15,Finland,Helsinki
2020-03-15,48,Finland,Helsinki
2020-03-16,41,Finland,Helsinki
2020-03-17,31,Finland,Helsinki
2020-03-18,65,Finland,Helsinki
2020-03-19,74,Finland,Helsinki
2020-03-20,53,Finland,Helsinki
2020-03-21,67,Finland,Helsinki
2020-03-22,60,Finland,Helsinki
2020-03-23,41,Finland,Helsinki
2020-03-24,53,Finland,Helsinki
2020-03-25,53,Finland,Helsinki
2020-03-26,58,Finland,Helsinki
2020-03-27,49,Finland,Helsinki
2020-03-28,53,Finland,Helsinki
2020-03-29,47,Finland,Helsinki
2020-03-30,61,Finland,Helsinki
2020-03-31,72,Finland,Helsinki
2020-04-01,99,Finland,Helsinki
2020-04-02,104,Finland,Helsinki
2020-04-03,133,Finland,Helsinki
2020-04-04,57,Finland,Helsinki
